title,stars,comment
"







  
    Eigentlich gut, aber.... Flasche defekt
  
  
",1.0 out of 5 stars,"









  
    
  Gutes Produkt, hatte dieses schon öfter allerdings in kleineren Flaschen.Diese ist nun noch mindestens dreiviertel voll und es kommt nichts mehr raus, also quasi Geld zum Fenster hinausgeworfen... :(

  
  
"
"







  
    Ottimo prodotto
  
  
",5.0 out of 5 stars,"









  
    
  Ottimo prodotto, già dopo la prima applicazione vedi la differenza. Una volta asciugata metto una crema idratante. Consiglio vivamente

  
  
"
"







  
    Hidratación maxima
  
  
",5.0 out of 5 stars,"









  
    
  Increíble la piel !me encantaLo dejas secar y la piel parece que lo agradece ...sin duda lo volveré a comprar

  
  
"
"







  
  
    Perfect for sensitive and dry skin
  
",5.0 out of 5 stars,"









  
  
    
  It’s perfect for sensitive skin! My skin is pretty dry and sensitive in winter season idk why. I was allergic few days ago and this spray literally just saved my face. Spray it before you put some other skincare products on your face.

  
"
"







  
  
    Great
  
",5.0 out of 5 stars,"









  
  
    
  Great

  
"
"







  
    Usala piu vole al giorno
  
  
",5.0 out of 5 stars,"









  
    
  Fenomenale

  
  
"
"







  
  
    Great for a variety of applications
  
",5.0 out of 5 stars,"









  
  
    
  I have very dry skin and use this after I wash my face and before moisturizer.

  
"
"







  
    Buono fresco
  
  
",4.0 out of 5 stars,"









  
    
  Ottimo molto fresco e idratante

  
  
"
"







  
    Adoro.
  
  
",5.0 out of 5 stars,"









  
    
  Vivo enamorada de esta bruma, me encanta, es super refrescante y en verano me salva la vida en esos días de calor sofocante. También la uso al salir de la ducha o después de darme una mascarilla y se nota el efecto calmante. Muy buen producto y al venir en este tamaño grande dura muchísimo (Por cierto son 300gr aunque en el título ponga 450gr, tendrían que corregirlo porque da a error).

  
  
"
"







  
    La amo
  
  
",5.0 out of 5 stars,"









  
    
  La uso ormai da anni, rinfresca, idrata.

  
  
"
"







  
  
    This facial mist spray is:
  
",5.0 out of 5 stars,"









  
  
    
  La Roche-Posay Thermal Spring Water Soothing Face Mist Spray with Antioxidants is essential for soothing face and body for sensitive skin. This water mist spray helps refresh and tone the skin. Thermal Spring Water is at the heart of most La Roche-Posay products. Its unique combination of mineral salts and trace elements has been scientifically demonstrated for its soothing properties and used in Europe for centuries at the center of Thermal Dermatology in the town of La Roche-Posay. Naturally contains a high concentration of Selenium, a powerful natural antioxidant and mineral-rich micro-droplets, which provides immediate, intense soothing. This facial mist spray is:

  
"
"







  
  
    Love!
  
",5.0 out of 5 stars,"









  
  
    
  Love this!! Refreshes nicely.

  
"
"







  
    Supre hidratante y refrescante
  
  
",5.0 out of 5 stars,"









  
    
  Calma la irritación. Se siente muy hidratante y fresca. La mejor agua termal que he probado.

  
  
"
"







  
  
    RELIEF from debilitating heat..hot flashes/MS or just refresh!
  
",5.0 out of 5 stars,"









  
  
    
  MS heat sensitivity QUICK relief and satisfying end result #non-irritating. Know it’s not cheap but SO worth it. Wish I’d had it during menopause.

  
"
"







  
  
    so so
  
",3.0 out of 5 stars,"









  
  
    
  Normally, no acne removal effect, just like normal water

  
"
"







  
  
    i got a used product
  
",2.0 out of 5 stars,"









  
  
    
  the bottle sent to me is a half used.

  
"
"







  
    Ottimo
  
  
",5.0 out of 5 stars,"









  
    
  Acqua leggerissima ottimo prodotto

  
  
"
"







  
    Perfecta para tonificar la piel
  
  
",5.0 out of 5 stars,"









  
    
  Uso este agua termal desde hace años. No quiero otra. Piel tonificada y con extra de luminosidad debido a las propiedades minerales. Recomendada!

  
  
"
"







  
  
    broken, won't spray
  
",1.0 out of 5 stars,"









  
  
    
  Love the product but came broken

  
"
